1/1/23,WINE AND BEYOND,ALCOHOL,Optional_Expenses,Vices,,$52.05
9/6/22,LEXUS,OIL CHANGE,True_Expenses,Auto Maintenance,,$142.20
2/10/23,CCC,SHOES (FOR MORGAN),True_Expenses,Gifts,,$141.75
11/11/22,AFFINITY,AFFINITY DESIGNER 2.0,Variable_Expenses,Learning,,$139.99
11/19/22,BOHEMIAN CANNABIS,CANNABIS,Other,Vacation,,$139.98
6/29/23,VICTORIA,FERRY (SPLIT!),Other,Vacation,,$139.70
1/8/22,LULU BAR,DINNER W/ MORGAN (PAID),True_Expenses,Gifts,,$137.53
9/4/22,UNITY,PDF VIEWER,Variable_Expenses,Learning,,$137.52
7/9/22,RECESS,FOUNTAIN PEN FOR MORGAN (PAID),True_Expenses,Gifts,,$137.03
4/14/22,BROWNS,ADIDAS MIDS - ALL WHITE,Variable_Expenses,Clothing,,$136.50
5/20/22,FOOT LOCKER,ADIDAS MIDS - BLACK AND WHITE,Variable_Expenses,Clothing,,$136.50
4/15/23,USL,TXB TFSA,Investments,TFSA,,$136.00
4/28/23,USL,TXB TFSA,Investments,TFSA,,$136.00
4/28/23,USL,EI Premium EE,Other,EI,,$132.59
5/7/22,DISCOVERY HUT,MODEL - OWL CLOCK AND BOARD GAME?,Optional_Expenses,Entertainment,,$125.98
1/4/22,INDIGO,MONTHLY PARKING,Fixed_Expenses,Parking,,$125.00
1/15/22,INDIGO,MONTHLY PARKING,Fixed_Expenses,Parking,,$125.00
2/1/22,INDIGO,MONTHLY PARKING,Fixed_Expenses,Parking,,$125.00
4/1/22,INDIGO,MONTHLY PARKING,Fixed_Expenses,Parking,,$125.00
5/2/22,INDIGO,MONTHLY PARKKING,Fixed_Expenses,Parking,,$125.00
6/1/22,INDIGO,MONTHLY PARKING,Fixed_Expenses,Parking,,$125.00
7/15/22,U OF C,MASTERS APPLICATION FEE,Other,Other,,$125.00
6/22/23,TSAWWASSEN,FERRY (SPLIT!),Other,Vacation,,$124.00
2/4/23,GAMESTOP,SQUISHMALLOW + LIGHT,Optional_Expenses,Guilt-Free,,$123.87
11/22/22,TANDOORI GRILL,DINNER W/ MORGAN (PAID),Other,Vacation,,$122.02
1/15/23,USL,TXB TFSA,Investments,TFSA,,$122.00
1/31/23,USL,TXB TFSA,Investments,TFSA,,$122.00
2/15/23,USL,TXB TFSA,Investments,TFSA,,$122.00
2/28/23,USL,TXB TFSA,Investments,TFSA,,$122.00
3/15/23,USL,TXB TFSA,Investments,TFSA,,$122.00
3/31/23,USL,TXB TFSA,Investments,TFSA,,$122.00
3/11/23,AMAZON,IPAD CASE + PROTECTOR,Optional_Expenses,Guilt-Free,,$118.63
7/27/23,LONDON DRUGS,SQUISHMALLOW + POGO,Optional_Expenses,Guilt-Free,,$116.47
5/28/23,CALGARY CLIMBING CENTRE,HARNESS FOR MORGAN,True_Expenses,Gifts,,$115.45
12/2/22,EYE TO EYE OPTOMETRY,EYE CHECK-UP,True_Expenses,Medical,,$115.00
1/18/23,CALGARY MARATHON,HALF MARATHON REGISTRATION (EARLY BIRD),Fixed_Expenses,Gym Membership,,$114.72
1/30/22,FOOT LOCKER,GIFT - SHOES FOR MORGAN,True_Expenses,Gifts,,$114.19
11/19/22,CANADIAN TIRE,AIR MATTRESS,Other,Vacation,,$112.71
11/19/22,TOKYO KATSU,FOOD,Other,Vacation,,$111.71
7/21/22,AMAZON,PHONE CASE & SUPPLEMENTS,Other,Other,,$110.74
1/6/23,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$110.41
7/9/22,SHOPPERS DRUG MART,ELECTRIC TOOTHBRUSH,True_Expenses,Medical,,$110.24
4/18/23,FUJI MARKET,RAMEN W/ MORGAN AND BA,Other,Vacation,,$110.23
1/30/22,POPEYES,PROTEIN POWDER,Variable_Expenses,Groceries,,$108.31
9/16/22,CALGARY HOMELESS FOUNDATION,,Other,,,$107.72
4/16/22,THE CANADIAN BREWHOUSE,DRINKS W/ MATT AND MORGAN (PAID),Optional_Expenses,Eating Out/Takeout,,$107.05
1/4/22,BEST BUY,TYPE USB C CONNECTOR FOR WORK LAPTOP,Other,Other,,$104.99
10/10/23,AMAZON,HEADPHONES FOR MORGAN,True_Expenses,Gifts,,$104.95
4/22/23,TAKARA SUSHI,LUNCH W/ MORGAN JOHNNY,Other,Vacation,,$104.14
7/16/23,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$103.95
9/21/22,TEN FOOT HENRY,LUNCH W/ ROBIN,Reimbursements,Work Reimbursement,,$101.43
1/2/23,CCC,GYM MEMBERSHIP (MULTI-GYM),Fixed_Expenses,Gym Membership,,$97.65
2/1/23,CCC,GYM MEMBERSHIP (MULTI-GYM),Fixed_Expenses,Gym Membership,,$97.65
3/1/23,CCC,MONTHLY MEMBERSHIP (MULTI-GYM),Fixed_Expenses,Gym Membership,,$97.65
4/1/23,CCC,MONTHLY MEMBERSHIP (MULTI-GYM),Fixed_Expenses,Gym Membership,,$97.65
5/1/23,CCC,MONTHLY GYM MEMBERSHIP (MULTI GYM),Fixed_Expenses,Gym Membership,,$97.65
6/1/23,CCC,CLIMBING MEMBERSHIP,Fixed_Expenses,Gym Membership,,$97.65
7/1/23,CCC,CLIMBING MEMBERSHIP,Fixed_Expenses,Gym Membership,,$97.65
8/1/23,CCC,CLIMBING MEMBERSHIP,Fixed_Expenses,Gym Membership,,$97.65
9/1/23,CCC,MONTHLY FEE (MULTI GYM),Fixed_Expenses,Gym Membership,,$97.65
10/2/23,CCC,MONTHLY,Fixed_Expenses,Gym Membership,,$97.65
1/2/22,CCC,GYM MEMBERSHIP (FULL),Fixed_Expenses,Gym Membership,,$96.60
2/5/22,CCC,GYM MEMBERSHIP (full),Fixed_Expenses,Gym Membership,,$96.60
3/2/22,CCC,GYM MEMBERSHIP (FULL),Fixed_Expenses,Gym Membership,,$96.60
4/1/22,CCC,GYM MEMBERSHIP (FULL),Fixed_Expenses,Gym Membership,,$96.60
10/17/23,DASH OF DOOM,RUNNING EVENT W/ MORGAN,Fixed_Expenses,Gym Membership,,$96.44
10/4/22,STAPLES,FEDEX DAD'S GLASSES,Other,Other,,$95.55
1/14/22,USL,EI CONT,Other,Tax,,$94.55
10/7/22,ALBERTA PARKS,KANANASKIS - YEARLY PASS,Optional_Expenses,Entertainment,,$94.50
4/30/23,KICKS SPORTING GOODS,SOCCER CLEATS AND SHIN PADS,True_Expenses,Other,,$94.48
11/19/22,BREAKFAST TABLE,BREAKFAST W/ MARK AND MORGAN (PAID),Other,Vacation,,$94.40
12/9/22,EARLS,LUNCH W/ ROBIN,Reimbursements,Work Reimbursement,,$93.86
7/2/23,CO-OP CANNABIS,WEED PEN,Optional_Expenses,Vices,,$92.37
8/27/22,ENSO,"DON JULIO FOR JAMES (TATTOO, TOUCH-UP)",Other,Tattoo,,$91.43
5/31/23,VALUE BUDS,1 OZ WEED,Optional_Expenses,Vices,,$91.32
7/23/22,VALUE BUDS,WEED (HALF OZ),Optional_Expenses,Vices,,$90.27
2/11/23,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$89.58
11/23/22,VANCOUVER AQUARIUM,AQUARIUM,Other,Vacation,,$88.90
12/17/22,UNA,DINNER W/ MORGAN'S FAMILY (PAID),Optional_Expenses,Eating Out/Takeout,,$88.80
7/4/23,STEAM,"VIDEO GAME (THUMPER, HOGWARTS, RUBBER BANDITS, SOULSTONE)",Optional_Expenses,Video Games,,$88.20
9/8/23,LONDON DRUGS,SQUISHMALLOWS,Optional_Expenses,Guilt-Free,,$88.12
7/3/22,SUSHI & KITCHEN,DINNER W/ MORGAN (PAID MEAL),Optional_Expenses,Eating Out/Takeout,,$87.42
2/5/23,LEGO,ORCHIDS + DONALD DUCK,Optional_Expenses,Entertainment,,$87.13
4/20/23,BC LIQUOR,DRINKS,Other,Vacation,,$86.88
9/14/23,MEC,TENT PAD + CAMPING SUPPLIES,Other,Vacation,,$85.35
10/14/22,TEN FOOT HENRY,WORK LUNCH,Reimbursements,Work Reimbursement,,$85.13
9/7/23,ALBERTA TKD,REGISTRATION FEE,Fixed_Expenses,Gym Membership,,$85.00
1/15/22,SUSHI & KITCHEN,LUNCH W/ MORGAN (PAID),Optional_Expenses,Eating Out/Takeout,,$84.41
10/22/22,AMAZOPN,RGB MOUSE MAT,Optional_Expenses,Guilt-Free,,$83.99
11/29/22,STEAM,ELDEN RING,Optional_Expenses,Entertainment,,$83.99
8/3/23,STEAM,VIDEO GAME (BALDURS GATE 3),Optional_Expenses,Video Games,,$83.99
8/6/23,STEAM,VIDEO GAME (BALDURS GATE 3),Optional_Expenses,Video Games,,$83.99
4/27/23,U OF C,GYM LOCKER FOR SPRING SUMMER SEMESTERS,Other,School,,$81.00
7/29/22,COSTCO,REPLACEMENT TIRES,True_Expenses,Auto Maintenance,,$80.00
6/1/23,CALGARY POLICE,PARKING TICKET,True_Expenses,Other,,$80.00
6/30/23,MORGAN,NOT SURE,Other,Other,,$80.00
12/16/22,TEN FOOT HENRY,LUNCH W/ COLIN (PAID),Reimbursements,Work Reimbursement,,$78.79
5/7/22,FLOATLIFE,FLOAT TANK COUPLES 1HR (PAID),True_Expenses,Medical,,$78.75
6/4/23,REDOX,COUPLES FLOAT,Optional_Expenses,Entertainment,,$78.75
5/27/23,SHOPPERS DRUG MART,2x SUNSCREEN,Variable_Expenses,Groceries,,$78.74
5/28/23,SUSHI AND KITCHEN,LUNCH W/ MORGAN,Optional_Expenses,Eating Out/Takeout,,$78.37
4/21/23,ALIMENTARIA MEXICANA,LUNCH W/ MORGAN JOHNNY,Other,Vacation,,$78.30
12/3/22,ESSO,GAS,Variable_Expenses,Gas,,$78.27
4/24/23,SINGAPORE HAWKER,DINNER W/ MORGAN MARK,Other,Vacation,,$77.10
2/18/23,RBC,2X FLIGHT TO VAN (MORG TO REIMBURSE),Other,Vacation,,$76.78
3/15/23,APPLE,IPAD TAX,Optional_Expenses,Guilt-Free,,$75.95
4/2/23,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$75.51
3/12/23,EARLS,OLIDIA'S BDAY,Optional_Expenses,Eating Out/Takeout,,$75.08
2/26/22,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$74.75
6/21/22,CANADIAN TIRE,CANADIAN TIRE - WORK REIMBURSEMENT,Reimbursements,Work Reimbursement,,$73.48
6/19/23,EARLS,WORK LUNCH,Reimbursements,Work Reimbursements,,$73.10
10/29/22,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$72.82
3/19/23,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$72.70
11/28/22,SUPERSTORE,GROCERIES,Optional_Expenses,Eating Out/Takeout,,$72.34
3/12/22,CHAPTERS,BOOKS,Variable_Expenses,Learning,,$72.00
2/14/22,SHELF LIFE BOOKS,BOOKS,Variable_Expenses,Learning,,$71.60
8/5/23,CO-OP,WEED STUFF,Optional_Expenses,Vices,,$71.38
7/27/23,CO-OP,WEED STUFF,Optional_Expenses,Vices,,$71.37
4/28/23,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$70.76
9/20/22,INDIGO,PARKING TICKET,Fixed_Expenses,Parking,,$70.00
10/11/23,LULU LEMON,3x SHORTS,Variable_Expenses,Clothing,,$70.00
9/1/23,CO-OP,LIQUOR,Optional_Expenses,Vices,,$69.50
6/4/22,4TH ST LIQUOR,LIQUOR - SAMANTHA'S PARTY,Optional_Expenses,Vices,,$69.18
11/6/22,WALMART,GROCERIES,Variable_Expenses,Groceries,,$68.88
10/22/22,AMAZON,MONITOR ARM,Optional_Expenses,Guilt-Free,,$68.24
10/21/22,DONS HOBBY SHOP,HALLOWEEN COSTUME,Optional_Expenses,Entertainment,,$68.20
11/24/22,RAMEN GAOH,DINNER W/ JOHNNY (PAID),Other,Vacation,,$68.10
8/28/22,UNITY,LOW POLY ASSETS,Variable_Expenses,Learning,,$67.39
10/14/22,WALMART,GROCERIES,Variable_Expenses,Groceries,,$67.28
3/26/22,CHAPTERS,BOOKS,Variable_Expenses,Learning,,$67.08
11/30/22,RW&CO,DRESS SHIRT,Variable_Expenses,Clothing,,$66.08
1/14/22,ACE LIQUOR,ALCOHOL,Optional_Expenses,Vices,,$66.00
5/22/22,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$66.00
6/22/23,COURSERA,COURSE FEE,Variable_Expenses,Learning,,$66.00
7/22/23,COURSERA,COURSERA MONTHLY,Variable_Expenses,Learning,,$66.00
8/22/23,COURSERA,COURSERA MONTHLY,Variable_Expenses,Learning,,$66.00
8/28/22,SUSHI AND KITCHEN,LUNCH W/ MORGAN (PAID),Optional_Expenses,Eating Out/Takeout,,$65.09
9/12/22,SUSHI & KITCHEN,LUNCH W/ MORGAN (PAID),Optional_Expenses,Eating Out/Takeout,,$65.09
6/29/23,SOOKE,WEED,Other,Vacation,,$65.01
3/26/22,FEVER,MICHELANGELOS DATE W/ MORGAN (PAID),Optional_Expenses,Entertainment,,$64.60
4/16/23,WALMART,SQUISHMALLOW AND GROCERIES,Other,Vacation,,$64.37
3/4/23,TOYS R US,"3X SQUISHMALLOW (NORI, TAMAGO, OONI)",Optional_Expenses,Guilt-Free,,$64.08
12/15/22,CROCS,CROCS,True_Expenses,Gifts,,$64.03
8/1/23,CO-OP,WEED STUFF,Optional_Expenses,Vices,,$64.03
3/10/23,LONDON DRUGS,SQUISHMALLOWS FOR SOECCHEUN,Reimbursements,Friends,,$64.02
7/1/22,TAIKO CANTEEN,LUNCH W/ ELIO (PAID MEAL),Optional_Expenses,Eating Out/Takeout,,$63.95
12/2/22,RUNNING ROOM,RESOLUTION RUN 2022,Fixed_Expenses,Gym Membership,,$63.34
12/2/22,RUNNING ROOM,"RESOLUTION RUN 2022 (MORGAN, PAID)",True_Expenses,Gifts,,$63.34
10/30/22,MEMORY EXPRESS,NETWORK CARD,Optional_Expenses,Guilt-Free,,$62.99
11/5/22,SHOWCASE,SQUISHMALLOW,Optional_Expenses,Guilt-Free,,$62.98
8/25/23,007 AIRSOFT,GREEN GAS + CHARGER,Optional_Expenses,Guilt-Free,,$62.98
4/18/23,CO-OP,GAS FOR MA/BA CAR,Other,Vacation,,$62.94
2/11/23,SUHSI AND KITCHEN,VALENTINES DINNER,Optional_Expenses,Eating Out/Takeout,,$62.26
8/7/23,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$60.97
12/15/22,DISCOVERY HUT,MINECRAFT LEGO,True_Expenses,Gifts,,$60.88
4/20/22,ENMAX,UTILITIES,Fixed_Expenses,Housing,,$60.51
6/26/22,COOP,GAS,Variable_Expenses,Gas,,$60.38
1/28/23,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$60.36
5/15/23,CALGARY READS,BOOKS,Variable_Expenses,Learning,,$60.00
6/22/23,PACHEEDAHT,CAMPGROUND (SPLIT!),Other,Vacation,,$60.00
8/18/23,CAUE,SKAHA EXPENSES,Other,Vacation,,$60.00
8/22/23,PARKS,RESERVATION FEE (CAMPING SEPT 24),Other,Vacation,,$60.00
6/23/23,PACHEEDAHT,PARKING (SPLIT!),Other,Vacation,,$59.98
6/19/23,MEC,WATER TABS,Other,Vacation,,$59.69
6/27/22,KINJO,DINNER W JOHNNY (PAID MEAL),Optional_Expenses,Eating Out/Takeout,,$59.58
5/5/23,AMAZON,LAPTOP SLEEVE,Optional_Expenses,Guilt-Free,,$59.56
3/24/22,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$59.30
6/22/22,MOBIL,GAS,Variable_Expenses,Gas,,$57.80
7/6/22,MOBIL,GAS,Variable_Expenses,Gas,,$57.78
6/11/23,SPORTING LIFE,RAIN PANTS,Other,Vacation,,$57.69
4/15/23,USL,EI Premium EE,Other,EI,,$57.64
9/24/22,COSTCO,LIQUOR (WHITE CLAWS),Optional_Expenses,Vices,,$57.59
7/15/22,COOP,GAS,Variable_Expenses,Gas,,$57.47
6/15/22,USL,EI CONT,Other,Tax,,$57.44
5/11/22,BOTTLESCREW BILLS,WINGS WEDNESDAY,Optional_Expenses,Entertainment,,$57.37
11/22/22,FUJI MARKET,RAMEN W MORGAN (PAID),Other,Vacation,,$57.24
3/4/23,TOYS R US,2X SQUISHMALLOW FOR SOECCHEUN,Reimbursements,Friends,,$56.68
8/9/23,AMAZON,NOT SURE,Optional_Expenses,Other,,$56.42
5/13/22,LIL EMPIRE BURGER,DINNER W/ MORGAN SAMANTHA (PAID),True_Expenses,Gifts,,$56.35
6/13/22,MOBIL,GAS,Variable_Expenses,Gas,,$56.25
2/23/22,ENMAX,UTILITIES,Fixed_Expenses,Housing,,$56.13
1/17/23,ORIGINAL JOES,WORK LUNCH (REIMBURSED) (AHMAD),Reimbursements,Work Reimbursements,,$56.06
8/29/23,UCALGARY,LOCKER RENTAL (FALL),Other,Other,,$56.00
3/26/23,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$55.93
6/22/23,RENFREW PUB,DINNER,Other,Vacation,,$55.90
3/24/22,ACE LIQUOR,ALCOHOL,Optional_Expenses,Vices,,$55.74
3/10/23,LONDON DRUGS,SQUISHMALLOWS,Optional_Expenses,Guilt-Free,,$55.62
1/7/23,COSTCO,ALCOHOL,Optional_Expenses,Vices,,$55.49
5/17/22,ESSO,GAS,Variable_Expenses,Gas,,$55.37
3/2/22,USL,EI CONT,Other,Tax,,$55.30
6/23/23,PACHEEDAHT,SWEATER,Other,Vacation,,$55.00
7/3/22,NO FRILLS,GIFT - BOUGHT MORGAN'S GROCERIES,True_Expenses,Gifts,,$54.78
1/16/22,SEPHORA,SKIN CARE,Variable_Expenses,Self-Care,,$54.18
3/18/22,ACE LIQUOR,ALCOHOL,Optional_Expenses,Vices,,$54.03
10/8/22,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$53.84
7/19/22,MOBIL,GAS,Variable_Expenses,Gas,,$53.73
1/31/22,USL,EI CONT,Other,Tax,,$53.70
2/15/22,USL,EI CONT,Other,Tax,,$53.70
1/15/23,ESSO,GAS,Variable_Expenses,Gas,,$53.44
7/16/22,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$53.35
10/31/22,MOBIL,GAS,Variable_Expenses,Gas,,$53.31
1/15/23,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$53.12
1/15/23,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$53.09
5/3/23,COURSERA,MONTHLY MEMBERSHIP,Variable_Expenses,Learning,,$53.00
5/31/22,USL,EI CONT,Other,Tax,,$52.88
2/26/22,CHAPTERS,BOOKS,Variable_Expenses,Learning,,$52.76
1/9/23,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$52.69
1/26/22,TELUS,INTERNET,Fixed_Expenses,Housing,,$52.50
2/25/22,TELUS,INTERNET,Fixed_Expenses,Housing,,$52.50
3/26/22,TELUS,INTERNET,Fixed_Expenses,Housing,,$52.50
4/26/22,TELUS,INTERNET,Fixed_Expenses,Housing,,$52.50
5/24/22,TELUS,INTERNET,Fixed_Expenses,Housing,,$52.50
6/23/22,TELUS,INTERNET,Fixed_Expenses,Housing,,$52.50
9/7/23,RED PHOENIX,REGISTRATION FEE,Fixed_Expenses,Gym Membership,,$52.50
11/16/22,INDIGO,BULLET JOURNAL 2023 + SQUISHMALLOW,Optional_Expenses,Guilt-Free,,$52.49
2/17/23,MEMORY EXPRESS,WIFI CARD FOR MORGAN,True_Expenses,Gifts,,$52.49
6/8/22,MOBIL,GAS,Variable_Expenses,Gas,,$52.35
1/19/22,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$52.24
1/15/23,USL,EI Premium EE,Other,EI,,$51.71
1/31/23,USL,EI Premium EE,Other,EI,,$51.71
2/15/23,USL,EI Premium EE,Other,EI,,$51.71
2/28/23,USL,EI Premium EE,Other,EI,,$51.71
3/15/23,USL,EI Premium EE,Other,EI,,$51.71
3/31/23,USL,EI Premium EE,Other,EI,,$51.71
4/23/22,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$51.66
11/6/22,CO-OP,GAS,Variable_Expenses,Gas,,$51.57
6/1/23,REDOX,FLOAT TANK MEMBERSHIP,Fixed_Expenses,Gym Membership,,$51.45
7/1/23,REDOX,FLOAT TANK MEMBERSHIP,Fixed_Expenses,Gym Membership,,$51.45
8/1/23,REDOX,FLOAT TANK MEMBERSHIP,Fixed_Expenses,Gym Membership,,$51.45
9/1/23,REDOX,MONTHLY FEE (SINGLE),Fixed_Expenses,Gym Membership,,$51.45
10/1/23,REDOX,MONTHLY (SINGLE),Fixed_Expenses,Gym Membership,,$51.45
9/6/22,BROKIN YOLK,BREAKFAST W/ MORGAN (PAID),Optional_Expenses,Eating Out/Takeout,,$51.29
4/14/22,USL,EI CONT,Other,Tax,,$50.49
4/29/22,USL,EI CONT,Other,Tax,,$50.49
5/13/22,USL,EI CONT,Other,Tax,,$50.49
6/30/22,USL,EI CONT,Other,Tax,,$50.49
7/15/22,USL,EI CONT,Other,Tax,,$50.49
7/29/22,USL,EI CONT,Other,Tax,,$50.49
8/15/22,USL,EI CONT,Other,Tax,,$50.49
8/5/22,MOBIL,GAS,Variable_Expenses,Gas,,$50.30
2/26/22,OEB,BREAKFAST W/ MORGAN (PAID),Optional_Expenses,Eating Out/Takeout,,$50.12
9/19/22,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$50.02
8/6/22,CO-OP,GAS (SOCHHEUN),True_Expenses,Gifts,,$50.00
10/4/22,ESSO,GAS,Variable_Expenses,Groceries,,$49.91
1/9/22,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$49.87
1/8/22,SHOPPERS DRUG MART,RGB LIGHTS,Fixed_Expenses,Housing,,$49.84
9/19/22,LOTUS,LUNCH W/ MALAYA,Reimbursements,Work Reimbursement,,$49.51
10/12/22,MOBIL,GAS,Variable_Expenses,Gas,,$49.45
5/26/22,MOBIL,GAS,Variable_Expenses,Gas,,$49.40
9/9/22,SHOPPERS DRUG MART,SQUISHMALLOW,Optional_Expenses,Guilt-Free,,$49.33
12/10/22,SHOWCASE,SQUISHMALLOW,True_Expenses,Gifts,,$49.33
1/15/22,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$49.25
4/14/22,ESSO,GAS,Variable_Expenses,Gas,,$49.12
9/3/23,TORS R US,SQUISHMALLOWS,Optional_Expenses,Guilt-Free,,$49.12
5/3/22,ESSO,GAS,Variable_Expenses,Gas,,$48.86
1/29/22,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$48.85
10/23/22,UBER,UBER FROM ANNA'S HALLOWEEN PARTY,Optional_Expenses,Entertainment,,$48.79
7/2/22,MOBIL,GAS,Variable_Expenses,Gas,,$48.65
8/15/22,MOBIL,GAS,Variable_Expenses,Gas,,$48.36
4/18/23,WHISTLER CORE,GYM PASS W/ MORGAN,Other,Vacation,,$48.30
7/16/22,COOP,WEED (LOOSE LEAF),Optional_Expenses,Vices,,$48.28
4/1/22,COOP,GAS,Variable_Expenses,Gas,,$48.20
6/2/22,MOBIL,GAS,Variable_Expenses,Gas,,$48.19
2/22/22,ESSO,GAS,Variable_Expenses,Gas,,$48.14
3/22/22,ENMAX,UTILITIES,Fixed_Expenses,Housing,,$48.07
2/12/22,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$48.05
8/11/22,MOBIL,GAS,Variable_Expenses,Gas,,$48.00
4/16/23,BC LIQUOR,1800 COCONUT RUM,Other,Vacation,,$47.24
8/9/23,STEAM,VIDEO GAME (3DMARK),Optional_Expenses,Video Games,,$47.24
6/18/22,SHOWCASE,SQUISHMALLOW,Optional_Expenses,Guilt-Free,,$47.23
7/29/22,SHOWCASE,"GIFTS (2 SQUISHMALLOWS, LIAM AND SAMIRA)",True_Expenses,Gifts,,$47.23
10/3/22,SAVE-ON FOODS,SQUISHMALLOW,Optional_Expenses,Guilt-Free,,$47.23
5/7/23,LONDON DRUGS,SQUISHMALLOWS (BEARDED DRAG STACKABLE + RED DINO),Optional_Expenses,Guilt-Free,,$47.23
1/14/22,USL,EI CONT,Other,Tax,,$47.18
2/28/22,USL,EI CONT,Other,Tax,,$47.18
3/15/22,USL,EI CONT,Other,Tax,,$47.18
3/31/22,USL,EI CONT,Other,Tax,,$47.18
8/27/22,MOBIL,GAS,Variable_Expenses,Gas,,$47.14
7/22/22,MOBIL,GAS,Variable_Expenses,Gas,,$46.93
4/2/23,CO-OP,GAS,Variable_Expenses,Gas,,$46.62
10/26/22,MOBIL,GAS,Variable_Expenses,Gas,,$46.57
3/18/22,CHAPTERS,BOOKS,Variable_Expenses,Learning,,$46.20
7/12/23,CO-OP,WEED PEN,Optional_Expenses,Vices,,$46.18
4/29/23,CO-OP,GAS,Variable_Expenses,Gas,,$45.84
11/14/22,ESSO,GAS,Variable_Expenses,Gas,,$45.74
8/20/22,MOBIL,GAS,Variable_Expenses,Gas,,$45.44
3/11/23,ESSO,GAS,Variable_Expenses,Gas,,$45.27
2/19/22,SUPERSTORE,GROCERIES,Optional_Expenses,Groceries,,$45.22
5/27/23,CO-OP,GAS,Variable_Expenses,Gas,,$45.15
8/24/22,MOBIL,GAS,Variable_Expenses,Gas,,$45.13
10/17/22,MOBIL,GAS,Variable_Expenses,Gas,,$45.09
4/10/22,ACE LIQUOR,ALCOHOL,Optional_Expenses,Vices,,$44.93
6/2/23,CO-OP LIQUOR,ALCOHOL,Optional_Expenses,Vices,,$44.85
6/11/23,ESSO,GAS,Variable_Expenses,Gas,,$44.78
10/21/22,MOBIL,GAS,Variable_Expenses,Gas,,$44.68
7/25/23,CO-OP,GAS,Variable_Expenses,Gas,,$44.62
5/10/23,CO-OP,GAS,Variable_Expenses,Gas,,$44.51
8/5/23,CO-OP,GAS,Variable_Expenses,Gas,,$44.32
8/30/22,MOBIL,GAS,Variable_Expenses,Gas,,$44.24
6/18/22,DISCOVERY HUT,BOARD GAME,Optional_Expenses,Entertainment,,$44.09
9/10/23,CO-OP,GAS,Variable_Expenses,Gas,,$44.07
5/6/22,THE UNICORN,DATE W/ MORGAN,Optional_Expenses,Entertainment,,$43.99
11/7/22,ZCREW,LUNCH W/ TRENTON,Reimbursements,Work Reimbursement,,$43.47
9/23/22,MOBIL,GAS,Variable_Expenses,GAS,,$43.41
9/19/22,MOBIL,GAS,Variable_Expenses,GAS,,$43.31
8/27/22,SUPERSTORE LIQUOR,BOMBAY FOR KRIS (8 x 60MG VYVANSE),Optional_Expenses,Vices,,$43.29
4/19/23,SAMURAI SUSHI,LUNCH W/ MORGAN (PAID),Other,Vacation,,$43.22
5/19/23,CO-OP,GAS,Variable_Expenses,Gas,,$43.18
9/25/23,CO-OP,GAS,Variable_Expenses,Gas,,$43.13
3/5/23,SHOWCASE,2X SQUISHMALLOW,Optional_Expenses,Guilt-Free,,$43.03
8/31/22,USL,EI CONT,Other,Tax,,$43.02
6/13/22,SPIRITLEAF,WEED,Optional_Expenses,Vices,,$43.00
10/5/22,DANK,CANNABIS - PRE-ROLL,Optional_Expenses,Vices,,$42.99
7/10/23,CO-OP,GAS,Variable_Expenses,Gas,,$42.91
1/22/23,CO-OP,GAS,Variable_Expenses,Gas,,$42.78
1/2/23,COOP,GAS,Variable_Expenses,Gas,,$42.54
9/6/22,CO-OP,GAS,Variable_Expenses,Gas,,$42.51
6/21/22,ENMAX,UTILITY,Fixed_Expenses,Housing,,$42.43
2/5/23,STEAM,VIDEO GAME (SPIDERMAN),Optional_Expenses,Video Games,,$42.40
8/26/23,DOUGHLICIOUS,SNACKS W/ MORGAN,Optional_Expenses,Eating Out/Takeout,,$42.39
7/19/22,ENMAX,UTILITIES,Fixed_Expenses,Housing,,$42.36
6/4/23,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$42.24
